DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2019,296248,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2020,248561,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2021,696866,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2022,531889,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Spain,2023,608695,,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2013,2444099,bep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2014,2436134,bep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2015,2444257,bep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2016,2637090,ep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2017,2578174,ep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2018,2395352,ep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2019,2557265,ep,
ESTAT:TPS00177(1.0),10/04/25 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,European Union - 27 countries (from 2020),2020,2118873,ep,
