DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,age,decision,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Denmark,2023,140,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Denmark,2024,85,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2013,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2014,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2015,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2016,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2017,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2018,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2019,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2020,5,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2021,5,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2022,0,,
ESTAT:TPS00193(1.0),03/04/25 11:00:00,Annual,Person,Extra-EU27 (from 2020),Total,Total,Geneva Convention status,Estonia,2023,0,,
